x <T> <P>
31.3 901.87 972
31.3 901.97 971
31.3 902.10 969
31.3 902.10 969
31.3 902.20 969
31.3 902.12 969
31.3 902.19 969
31.3 902.17 969
31.3 902.17 969
31.3 901.91 971
31.3 901.87 972
31.3 902.12 969
31.3 902.15 969
31.3 902.17 969
31.3 902.14 969
31.3 902.12 969
31.3 901.81 972
31.3 902.02 970
31.3 901.94 971
31.3 901.89 971
31.3 902.15 969
31.3 902.12 969
31.3 902.12 969
31.3 902.04 970
31.3 901.86 972
31.3 902.11 969
31.3 902.15 969
31.3 902.17 969
31.3 902.04 970
31.3 901.91 971
31.3 901.89 971
31.3 901.94 971
31.3 901.87 972
31.3 901.92 971
31.3 901.91 971
31.3 902.17 969
31.3 902.04 970
31.3 902.20 969
31.3 902.07 970
31.3 901.97 971
31.3 901.94 971
31.3 901.84 972
31.3 902.20 969
31.3 902.22 968
31.3 901.81 972
31.3 901.84 972
31.3 902.19 969
31.3 901.97 971
31.3 902.23 968
31.3 901.92 971
31.3 901.84 972
31.3 901.83 972
31.3 901.92 971
31.3 902.17 969
31.3 902.17 969
31.3 902.07 970
31.3 902.17 969
31.3 901.81 972
31.3 902.24 968
31.3 902.17 969
31.3 902.14 969
31.3 901.89 971
31.3 901.92 971
31.3 902.23 968
31.3 901.78 972
31.3 902.04 970
31.3 902.19 969
31.3 901.92 971
31.3 902.17 969
31.3 902.02 970
31.3 902.15 969
31.3 901.83 972
31.3 902.10 969
31.3 901.87 972
31.3 901.83 972
31.3 901.92 971
31.3 901.86 972
31.3 901.96 971
31.3 901.96 971
31.3 901.83 972
31.3 901.91 971
31.3 902.22 968
31.3 901.86 972
31.3 902.15 969
31.3 902.23 968
31.3 901.88 972
31.3 901.96 971
31.3 901.96 971
31.3 901.99 970
31.3 901.86 972
31.3 901.95 971
31.3 901.92 971
31.3 901.84 972
31.3 902.19 969
31.3 902.06 970
31.3 902.16 969
31.3 901.89 971
31.3 902.19 969
31.3 902.15 969
31.3 902.14 969
31.3 902.14 969
31.3 902.06 970
31.3 902.14 969
31.3 901.88 972
31.3 902.14 969
31.3 901.87 972
31.3 901.93 971
31.3 901.86 972
31.3 901.84 972
31.3 901.96 971
31.3 901.88 972
31.3 901.94 971
31.3 901.84 972
31.3 901.84 972
31.3 901.88 972
31.3 902.09 970
31.3 901.86 972
31.3 901.88 972
31.3 902.17 969
31.3 902.16 969
31.3 901.88 972
31.3 901.88 972
31.3 902.19 969
31.3 901.94 971
31.3 902.17 969
31.3 901.96 971
31.3 901.83 972
31.3 901.96 971
31.3 901.89 971
31.3 901.84 972
31.3 901.88 972
31.3 901.99 970
31.3 901.97 971
31.3 901.99 970
31.3 901.87 972
31.3 901.96 971
31.3 901.84 972
31.3 902.15 969
31.3 902.15 969
31.3 902.14 969
31.3 902.17 969
31.3 901.84 972
31.3 901.74 973
31.3 902.14 969
31.3 902.22 968
31.3 901.84 972
31.3 902.14 969
31.3 902.14 969
31.3 902.17 969
31.3 902.22 968
31.3 902.14 969
31.3 902.20 969
31.3 902.15 969
31.3 902.10 969
31.3 902.04 970
31.3 901.79 972
31.3 901.86 972
31.3 902.15 969
31.3 902.19 969
31.3 902.19 969
31.3 902.12 969
31.3 902.25 968
31.3 902.19 969
31.3 902.14 969
31.3 901.84 972
31.3 901.84 972
31.3 901.83 972
31.3 901.87 972
31.3 901.96 971
31.3 901.92 971
31.3 901.84 972
31.3 902.17 969
31.3 902.09 970
31.3 901.86 972
31.3 902.19 969
31.3 902.10 969
31.3 901.84 972
31.3 901.87 972
31.3 902.07 970
31.3 901.84 972
31.3 901.94 971
31.3 901.86 972
31.3 901.87 972
31.3 901.91 971
31.3 902.01 970
31.3 902.17 969
31.3 902.14 969
31.3 902.14 969
31.3 902.20 969
31.3 902.20 969
31.3 902.20 969
31.3 902.20 969
31.3 901.94 971
31.3 901.91 971
31.3 901.87 972
31.3 901.86 972
31.3 901.81 972
31.3 902.14 969
31.3 901.81 972
31.3 902.01 970
31.3 902.20 969
31.3 901.94 971
31.3 901.91 971
31.3 901.87 972
31.3 902.02 970
31.3 902.23 968
31.3 901.94 971
31.3 901.97 971
31.3 901.84 972
31.3 902.17 969
31.3 901.86 972
31.3 901.84 972
31.3 902.01 970
31.3 901.91 971
31.3 901.87 972
31.3 902.22 968
31.3 902.17 969
31.3 902.17 969
31.3 902.10 969
31.3 901.84 972
31.3 901.84 972
31.3 902.01 970
31.3 901.87 972
31.3 901.97 971
31.3 901.94 971
31.3 902.01 970
31.3 902.07 970
31.3 902.23 968
31.3 902.10 969
31.3 902.14 969
31.3 901.97 971
31.3 902.01 970
31.3 901.97 971
31.3 902.04 970
31.3 902.04 970
31.3 902.06 970
31.3 902.04 970
31.3 902.01 970
31.3 902.04 970
31.3 902.23 968
31.3 902.04 970
31.3 902.24 968
31.3 902.25 968
31.3 902.22 968
31.3 902.01 970
31.3 902.01 970
31.3 902.09 970
31.3 902.12 969
31.3 902.01 970
31.3 902.09 970
31.3 902.07 970
31.3 902.01 970
31.3 902.10 969
31.3 902.01 970
31.3 902.04 970
31.3 902.06 970
31.3 902.07 970
31.3 902.11 969
