Tiempo(s)  Temperatura(C)  Voltaje(V)   Corriente_SiPM
0.10            38.43            41.38            1.42
1.52            39.01            41.45            2.38
1.93            39.55            41.44            2.42
2.33            37.84            41.45            2.36
2.74            38.92            41.47            2.47
3.15            38.62            41.45            2.49
3.55            39.06            41.45            2.49
3.96            39.60            41.44            2.48
4.37            39.60            41.41            2.49
4.77            39.11            41.45            2.50
5.18            39.50            41.47            2.44
5.59            38.48            41.42            2.42
5.99            38.28            41.43            2.46
6.40            39.36            41.45            2.45
6.80            38.48            41.44            2.44
7.21            38.04            41.45            2.52
7.62            39.45            41.46            2.47
8.02            38.62            41.46            2.51
8.43            38.43            41.44            2.53
8.84            39.75            41.44            2.50
9.24            38.57            41.46            2.42
9.65            38.23            41.48            2.46
10.06            39.79            41.42            2.60
10.46            38.04            41.53            2.75
10.87            37.65            41.52            2.37
11.27            37.84            41.44            2.58
11.68            37.70            41.45            2.54
12.09            39.21            41.47            2.55
12.49            38.38            41.45            2.54
12.90            38.09            41.49            2.55
13.31            38.33            41.48            2.51
13.71            39.40            41.48            2.49
14.12            37.99            41.48            2.54
14.53            38.18            41.51            2.55
14.93            39.06            41.61            3.04
15.34            39.01            42.56            2.34
15.75            38.04            42.41            2.53
16.15            38.04            42.44            2.53
16.56            39.50            42.46            2.50
16.96            38.72            42.47            2.51
17.37            38.96            42.47            2.54
17.78            38.53            42.44            2.51
18.18            37.84            42.44            2.55
18.59            38.72            42.45            2.48
19.00            39.45            42.44            2.50
19.40            38.48            42.47            2.54
19.81            38.57            43.52            2.56
20.21            38.53            43.55            2.58
20.62            38.92            43.41            2.57
21.03            38.53            43.43            2.60
21.43            39.01            43.42            2.60
21.84            38.77            43.41            2.58
22.25            38.13            43.43            2.54
22.65            38.09            43.44            2.51
23.06            37.84            43.42            2.55
23.47            39.65            43.43            2.55
23.87            39.01            43.43            2.64
24.28            39.89            43.42            2.64
24.69            39.21            43.45            2.46
25.09            38.92            43.70            3.44
25.50            38.62            44.47            2.54
25.90            38.18            44.37            2.40
26.31            38.87            44.37            2.55
26.72            38.77            44.38            2.59
27.12            37.70            44.38            2.59
27.53            38.53            44.38            2.55
27.94            37.84            44.40            2.42
28.34            38.43            44.44            2.58
28.75            38.09            44.38            2.62
29.16            39.40            44.37            2.63
29.56            38.48            44.40            2.65
29.97            38.13            44.44            2.67
30.38            38.82            45.53            2.64
30.78            39.21            45.47            2.63
31.19            38.72            45.33            2.61
31.59            38.87            45.37            2.68
32.00            38.92            45.39            2.61
32.41            39.21            45.39            2.62
32.81            38.62            45.37            2.69
33.22            39.06            45.35            2.61
33.63            38.33            45.37            2.69
34.03            38.57            45.37            2.66
34.44            38.87            45.39            2.63
34.85            39.31            45.35            2.67
35.25            38.43            46.45            2.64
35.66            38.28            46.29            2.68
36.07            37.94            46.29            2.65
36.47            38.23            46.30            2.66
36.88            37.35            46.30            2.67
37.28            38.57            46.34            2.60
37.69            38.57            46.36            2.60
38.10            38.72            46.35            2.61
38.50            38.72            46.34            2.61
38.91            39.31            46.35            2.64
39.32            38.48            46.35            2.57
39.72            38.43            46.36            2.52
40.13            38.43            46.76            3.44
40.54            38.96            47.40            2.61
40.94            38.96            47.27            2.50
41.35            38.96            47.26            2.54
41.75            38.48            47.27            2.61
42.16            39.31            47.28            2.52
42.57            37.60            47.30            2.65
42.97            39.11            47.29            2.67
43.38            39.16            47.32            2.64
43.79            38.57            47.28            2.61
44.19            38.23            47.26            2.62
44.60            37.74            47.56            3.43
45.01            37.84            48.38            2.59
45.41            37.99            48.31            2.60
45.82            38.67            48.23            2.71
46.23            38.18            48.27            2.73
46.63            38.77            48.28            2.72
47.04            39.40            48.27            2.70
47.44            38.09            48.25            2.72
47.85            38.72            48.24            2.71
48.26            37.94            48.27            2.60
48.66            39.45            48.29            2.74
49.07            39.36            48.30            2.70
49.48            38.43            48.27            2.72
49.88            39.60            49.32            2.75
50.29            38.92            49.29            2.75
50.70            38.28            49.22            2.76
51.10            38.77            49.21            2.79
51.51            38.96            49.19            2.78
51.91            38.28            49.19            2.78
52.32            38.53            49.24            2.71
52.73            38.48            49.25            2.77
53.13            39.16            49.23            2.70
53.54            38.53            49.27            2.69
53.95            38.92            49.23            2.68
54.35            39.21            49.29            2.64
54.76            38.28            49.27            2.68
55.17            38.43            49.26            2.67
55.57            38.04            49.24            2.67
55.98            38.23            49.27            2.72
56.39            38.82            49.28            2.73
56.79            38.13            49.23            2.74
57.20            39.16            49.25            2.73
57.60            38.67            49.24            2.71
58.01            38.33            49.25            2.72
58.42            38.96            49.24            2.65
58.82            38.77            50.22            3.20
59.23            39.06            50.30            2.76
59.64            38.18            50.18            2.73
60.04            39.21            50.22            2.68
60.45            38.18            50.21            2.69
60.86            37.74            50.22            2.72
61.26            38.57            50.22            2.76
61.67            39.16            50.25            2.65
62.07            39.26            50.24            2.73
62.48            39.84            50.22            2.70
62.89            38.48            50.24            2.75
63.29            38.82            50.24            2.73
63.70            38.13            50.25            2.72
64.11            39.16            50.24            2.69
64.51            39.26            50.25            2.66
64.92            37.84            50.23            2.78
65.33            38.62            50.26            2.75
65.73            38.48            50.28            2.71
66.14            37.65            50.24            2.72
66.55            38.23            50.23            2.73
66.95            39.89            50.24            2.72
67.36            37.89            51.29            2.74
67.76            38.72            51.34            2.74
68.17            39.06            51.18            2.73
68.58            39.79            51.17            2.75
68.98            39.70            51.18            2.81
69.39            38.04            51.21            2.76
69.80            39.40            51.20            2.74
70.20            38.87            51.16            2.79
70.61            38.72            51.17            2.85
71.02            38.62            51.18            2.76
71.42            37.99            51.20            2.64
71.83            39.94            51.17            2.69
72.23            38.28            51.22            2.74
72.64            38.72            51.17            2.78
73.05            38.67            52.28            2.77
73.45            38.09            52.23            2.61
73.86            39.11            52.14            2.75
74.27            39.36            52.15            2.75
74.67            38.72            52.16            2.70
75.08            39.40            52.21            2.71
75.49            38.57            52.15            2.71
75.89            39.01            52.14            2.71
76.30            38.23            52.16            2.79
76.70            38.28            52.16            2.75
77.11            37.89            52.21            2.58
77.52            38.67            52.17            2.70
77.92            40.09            52.19            2.76
81.35            38.38            53.33            2.84
83.78            39.36            53.17            2.64
84.19            38.18            53.17            2.76
84.60            39.06            53.18            2.82
85.00            39.50            53.18            2.75
85.41            38.48            53.17            2.77
85.81            39.40            53.16            2.81
86.22            39.50            53.20            2.73
86.63            38.57            53.18            2.75
87.03            39.50            53.15            2.73
87.44            39.01            53.15            2.78
87.85            39.45            53.15            2.78
88.25            40.04            53.16            2.82
91.68            38.57            54.23            22.35
94.11            39.40            54.16            22.30
94.52            39.94            54.09            22.46
94.93            38.72            54.14            22.30
95.33            39.16            54.17            22.52
95.74            38.77            54.13            22.74
96.15            39.06            54.14            22.65
96.55            38.33            54.17            22.41
96.96            38.62            54.12            22.72
97.36            38.18            54.15            22.63
97.77            38.96            54.13            22.70
98.18            38.28            54.12            22.77
98.58            39.45            54.14            22.57
98.99            39.40            54.19            22.57
99.40            38.28            54.19            22.62
99.80            38.57            54.12            22.75
100.21            39.31            54.13            22.77
100.62            39.01            54.16            22.86
101.02            39.50            54.14            22.86
101.43            38.96            55.18            40.15
101.84            38.23            55.17            40.22
102.24            39.79            55.10            40.23
102.65            39.75            55.09            40.22
103.06            39.16            55.09            40.22
103.46            38.87            55.14            40.24
103.87            39.40            55.14            40.24
104.27            39.84            55.11            40.25
104.68            38.77            55.13            40.23
105.09            39.60            55.13            40.23
105.49            37.94            55.10            40.23
105.90            39.89            55.12            40.22
106.31            39.31            55.15            40.23
106.71            39.45            55.16            40.24
107.12            38.62            55.11            40.22
107.53            39.75            55.13            40.23
107.93            39.89            55.15            40.25
108.34            39.01            55.10            40.22
108.75            39.70            55.11            40.23
109.15            39.94            56.12            40.21
109.56            39.31            56.08            40.22
109.97            38.48            56.07            40.21
110.37            39.26            56.07            40.21
110.78            39.36            56.10            40.21
111.19            38.96            56.08            40.22
111.59            38.87            56.06            40.21
112.00            40.14            56.06            40.23
115.43            39.65            57.16            40.28
117.86            38.43            57.05            40.21
118.26            38.57            57.08            40.19
118.67            38.38            57.05            40.19
119.08            39.60            58.08            40.20
119.48            40.09            58.05            40.21
122.91            38.72            58.13            40.25
125.34            40.14            59.01            40.19
128.77            40.09            59.10            40.24
129.18            40.19            59.11            40.25
129.59            38.96            59.12            40.25
132.02            38.96            59.00            40.18
132.42            39.70            59.00            40.19
132.83            39.50            59.01            40.18
133.23            39.06            59.01            40.17
133.64            38.48            58.99            40.19
134.05            39.31            59.01            40.19
134.45            39.84            58.98            40.17
134.86            40.38            59.03            40.17
138.29            39.50            59.14            40.25
140.72            39.75            59.97            40.18
141.13            39.36            59.97            40.18
141.53            40.14            59.99            40.16
144.96            38.43            60.09            40.23
147.39            38.82            60.00            40.14
147.80            39.99            59.98            40.18
148.21            39.50            59.99            40.18
148.61            38.18            60.02            40.18
149.02            38.04            59.99            40.16
149.43            39.01            59.98            40.16
149.83            39.99            60.00            40.17
150.24            39.45            60.01            40.16
150.64            38.82            59.99            40.17
151.05            39.45            59.99            40.19
151.46            39.55            60.01            40.18
151.86            39.36            59.98            40.16
152.27            38.43            59.98            40.15
152.68            39.84            60.00            40.17
153.08            38.77            60.01            40.16
153.49            39.45            59.98            40.14
153.90            39.65            59.98            40.15
154.30            39.70            60.02            40.17
154.71            38.77            59.97            40.16
155.12            38.77            59.97            40.15
155.52            39.11            59.99            40.16
155.93            39.01            59.98            40.16
156.34            38.82            59.98            40.14
156.74            38.18            59.96            40.16
157.15            37.94            60.02            40.17
157.55            38.96            60.02            40.17
157.96            39.75            60.01            40.16
158.37            38.72            60.03            40.16
158.77            39.31            60.01            40.17
159.18            39.11            60.02            40.15
159.59            39.40            59.98            40.15
159.99            38.96            59.98            40.15
160.40            37.94            59.99            40.18
160.81            39.01            60.00            40.14
161.21            39.70            60.02            40.17
161.62            38.38            59.99            40.16
162.03            38.53            60.02            40.17
162.43            38.53            59.98            40.15
162.84            39.01            59.97            40.16
163.25            39.31            59.99            40.17
163.65            39.16            59.98            40.17
164.06            38.96            59.99            40.14
164.47            38.04            59.96            40.16
164.87            39.45            60.03            40.16
165.28            39.01            60.02            40.14
165.69            39.01            59.97            40.15
166.09            38.38            59.99            40.15
166.50            38.77            60.02            40.16
166.90            38.67            60.01            40.16
167.31            38.09            59.98            40.13
167.72            38.53            59.99            40.17
168.12            38.43            59.99            40.17
168.53            38.43            60.00            40.16
168.94            39.21            60.00            40.14
169.34            38.18            59.99            40.17
169.75            38.43            60.01            40.15
170.16            37.94            60.00            40.14
170.56            38.67            60.00            40.15
170.97            39.36            59.99            40.16
171.38            38.57            59.99            40.16
171.78            37.79            60.00            40.14
172.19            38.33            60.00            40.15
172.60            38.77            60.02            40.17
173.00            38.28            59.98            40.16
173.41            38.13            60.02            40.14
173.82            39.11            59.97            40.15
174.22            38.48            60.00            40.14
174.63            38.53            60.01            40.15
175.04            38.38            59.98            40.16
175.44            38.33            60.00            40.16
175.85            38.48            60.03            40.14
176.25            38.92            60.03            40.15
176.66            38.04            59.99            40.14
177.07            37.60            60.00            40.16
177.47            39.21            59.99            40.16
177.88            38.67            60.00            40.13
178.29            38.57            60.02            40.16
178.69            38.77            60.03            40.15
179.10            38.13            60.00            40.14
179.51            38.38            59.99            40.13
179.91            38.28            60.02            40.15
180.32            38.38            60.01            40.16
180.73            38.87            59.98            40.16
181.13            38.77            59.96            40.14
181.54            38.38            60.01            40.16
181.95            38.38            60.00            40.14
182.35            38.33            60.00            40.14
182.76            37.99            60.01            40.13
183.16            39.50            60.00            40.15
183.57            38.72            59.99            40.15
183.98            38.13            60.02            40.13
184.38            38.57            59.97            40.15
