Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
0.10            50.05            41.38            0.98
1.52            49.41            41.43            1.24
3.95            50.24            41.46            2.07
7.38            50.15            41.53            1.71
7.79            50.05            41.50            1.71
8.19            50.44            41.52            1.57
8.60            50.00            41.66            1.65
11.03            50.39            41.43            2.13
14.46            50.10            41.50            1.59
14.87            49.80            41.50            1.58
17.29            49.41            41.44            2.17
17.70            49.51            41.48            2.20
18.11            49.71            41.49            2.23
18.51            50.15            41.45            2.21
21.94            49.85            41.53            1.67
24.37            49.22            41.42            2.17
24.78            49.22            41.47            2.17
25.19            49.80            41.47            2.30
25.59            49.46            41.49            2.22
26.00            49.17            41.50            2.19
26.40            49.27            41.47            2.28
26.81            49.22            41.47            2.25
27.22            49.37            41.49            2.23
27.62            49.61            41.48            2.16
28.03            49.90            41.48            2.18
28.44            49.80            41.46            2.24
28.84            49.32            42.60            2.26
29.25            49.66            42.62            2.24
29.66            50.15            42.39            2.21
33.09            49.90            43.64            1.80
35.51            49.46            43.42            2.14
35.92            49.27            43.40            2.23
36.33            49.56            43.41            2.28
36.73            49.32            43.44            2.24
37.14            49.17            43.42            2.24
37.55            48.88            43.41            2.27
37.95            48.93            43.40            2.27
38.36            49.07            43.45            2.28
38.77            49.56            43.46            2.29
39.17            49.07            43.57            2.23
39.58            49.22            43.39            2.26
39.99            49.17            43.40            2.27
40.39            49.56            43.43            2.27
40.80            49.07            43.45            2.13
41.20            48.88            43.41            2.30
41.61            49.32            43.42            2.32
42.02            48.88            43.41            2.26
42.42            49.17            43.47            2.23
42.83            49.12            43.43            2.23
43.24            48.93            43.46            2.27
43.64            49.32            43.43            2.29
44.05            48.97            43.45            2.28
44.46            49.32            44.50            2.32
44.86            49.02            44.44            2.11
45.27            48.97            44.32            2.23
45.67            49.07            44.36            2.34
46.08            48.97            44.41            2.29
46.49            49.07            44.40            2.27
46.89            48.63            44.39            2.23
47.30            48.83            44.39            2.23
47.71            48.83            44.42            2.10
48.11            48.78            44.40            2.25
48.52            49.51            44.39            2.26
48.93            48.97            45.50            2.24
49.33            49.07            45.47            2.14
49.74            48.73            45.38            2.28
50.15            49.02            45.38            2.27
50.55            49.12            45.37            2.28
50.96            49.17            45.36            2.25
51.36            49.02            45.36            2.28
51.77            49.22            45.38            2.27
52.18            49.07            45.40            2.31
52.58            49.02            45.36            2.28
52.99            48.83            45.38            2.25
53.40            48.63            45.39            2.13
53.80            48.88            45.39            2.24
54.21            48.63            46.44            2.31
54.62            48.97            46.44            2.31
55.02            49.22            46.27            2.30
55.43            48.73            46.33            2.29
55.83            48.78            46.35            2.25
56.24            49.32            46.36            2.26
56.65            48.63            46.34            2.31
57.05            48.68            46.33            2.30
57.46            49.17            46.36            2.31
57.87            48.73            46.34            2.28
58.27            48.73            46.34            2.29
58.68            48.83            46.35            2.36
59.09            48.78            46.36            2.34
59.49            48.83            46.35            2.25
59.90            48.97            46.33            2.34
60.31            48.97            46.33            2.37
60.71            49.02            47.42            2.40
61.12            48.83            47.25            2.39
61.52            48.63            47.27            2.37
61.93            49.07            47.27            2.42
62.34            48.68            47.28            2.36
62.74            48.78            47.32            2.34
63.15            48.63            47.30            2.39
63.56            48.63            47.29            2.32
63.96            48.73            47.28            2.37
64.37            48.93            47.28            2.30
64.77            49.02            47.30            2.39
65.18            48.83            47.33            2.37
65.59            49.12            47.33            2.32
65.99            48.73            47.30            2.30
66.40            48.83            47.32            2.29
66.81            48.97            47.35            2.27
67.21            48.54            47.32            2.29
67.62            49.07            47.30            2.27
68.03            48.63            47.30            2.29
68.43            48.49            47.33            2.27
68.84            48.78            47.36            2.30
69.25            48.63            48.40            2.25
69.65            48.97            48.35            2.29
70.06            48.83            48.23            2.29
70.47            48.68            48.26            2.29
70.87            48.97            48.27            2.34
71.28            48.63            48.26            2.41
71.68            48.63            48.27            2.39
72.09            48.34            48.30            2.28
72.50            49.17            48.31            2.36
72.90            48.24            48.30            2.36
73.31            48.88            48.27            2.39
73.72            48.68            48.25            2.39
74.12            48.78            48.28            2.34
74.53            48.78            48.27            2.33
74.94            48.63            48.27            2.38
75.34            48.78            48.30            2.36
75.75            48.73            48.28            2.39
76.15            48.49            48.33            2.38
76.56            48.73            48.29            2.34
76.97            48.88            48.29            2.40
77.37            48.58            48.29            2.46
77.78            48.63            48.31            2.45
78.19            48.93            48.30            2.48
78.59            48.54            48.28            2.35
79.00            48.63            48.27            2.39
79.41            49.12            48.26            2.39
79.81            48.93            49.35            2.40
80.22            48.83            49.36            2.45
80.63            49.07            49.18            2.41
81.03            48.97            49.22            2.37
81.44            48.44            49.23            2.30
81.84            48.44            49.26            2.28
82.25            48.54            49.22            2.29
82.66            48.58            49.22            2.29
83.06            48.73            49.23            2.27
83.47            48.58            49.24            2.27
83.88            48.58            49.28            2.24
84.28            48.83            49.26            2.29
84.69            48.63            50.28            2.55
85.09            48.68            50.36            2.31
85.50            48.68            50.16            2.35
85.91            48.63            50.22            2.40
86.31            48.93            50.23            2.37
86.72            48.83            50.23            2.39
87.13            48.97            50.21            2.37
87.53            48.49            50.25            2.34
87.94            48.78            50.23            2.34
88.35            48.88            50.22            2.30
88.75            48.68            50.21            2.40
89.16            48.63            50.27            2.29
89.57            48.88            50.21            2.38
89.97            48.58            51.27            2.38
90.38            48.49            51.26            2.27
90.79            48.73            51.17            2.41
91.19            48.68            51.18            2.41
91.60            48.78            51.19            2.41
92.00            48.73            51.17            2.43
92.41            49.02            51.18            2.39
92.82            49.32            51.20            2.44
93.22            48.83            51.20            2.40
93.63            48.83            51.19            2.40
94.04            48.97            51.18            2.49
94.44            48.88            52.23            2.61
94.85            49.02            52.26            2.46
95.26            48.88            52.16            2.50
95.66            48.88            52.17            2.48
96.07            48.93            52.19            2.51
96.48            49.17            52.20            2.46
96.88            48.49            52.23            2.47
97.29            49.12            52.17            2.45
97.69            48.68            52.15            2.55
98.10            49.02            52.17            2.52
98.51            48.88            53.26            2.51
98.91            49.17            53.21            2.42
99.32            49.07            53.15            2.40
99.73            48.83            53.13            2.44
100.13            48.88            53.16            2.45
100.54            48.93            53.18            2.43
100.95            48.73            53.16            2.38
101.35            48.97            53.14            2.44
101.76            48.97            53.18            2.40
102.17            48.63            53.17            2.31
102.57            48.83            53.19            2.34
102.98            48.93            53.16            2.46
103.38            48.83            54.22            22.87
103.79            48.97            54.25            22.88
104.20            49.22            54.15            18.80
104.60            48.97            54.17            19.54
105.01            48.58            54.12            19.83
105.42            49.02            54.13            19.62
105.82            48.29            54.11            19.85
106.23            48.58            54.16            19.61
106.64            48.44            54.14            19.83
107.04            49.07            54.14            20.05
107.45            49.02            54.13            19.90
107.86            48.73            54.14            19.95
108.26            48.73            54.17            20.38
108.67            48.97            55.19            40.03
109.08            49.22            55.08            40.06
109.48            48.78            55.13            40.10
109.89            49.46            55.11            40.10
110.30            49.07            55.10            40.10
110.70            48.78            55.10            40.11
111.11            49.17            55.15            40.11
111.51            49.46            55.13            40.09
111.92            48.83            55.12            40.11
112.33            48.73            55.12            40.11
112.73            48.97            55.12            40.10
113.14            48.83            55.14            40.09
113.55            48.93            55.10            40.09
113.95            49.17            55.11            40.11
114.36            49.32            55.13            40.08
114.77            48.63            55.09            40.10
115.17            49.02            55.13            40.08
115.58            49.07            55.12            40.11
115.99            49.22            55.11            40.08
116.39            49.51            56.14            40.08
116.80            49.07            56.15            40.09
117.21            49.46            56.10            40.09
117.61            49.02            56.06            40.07
118.02            49.32            56.07            40.08
118.43            49.27            56.06            40.08
118.83            48.93            56.08            40.08
119.24            49.32            56.07            40.09
119.65            49.12            56.07            40.07
120.05            49.07            57.09            40.08
120.46            48.83            57.08            40.08
120.86            49.12            57.03            40.07
121.27            49.22            57.01            40.06
121.68            48.97            57.05            40.07
122.08            48.93            57.02            40.07
122.49            49.22            57.05            40.06
122.90            49.07            57.08            40.06
123.30            49.51            57.05            40.07
123.71            49.37            57.07            40.07
124.12            49.02            57.01            40.06
124.52            49.07            57.05            40.07
124.93            49.12            57.10            40.08
125.34            49.41            57.07            40.07
125.74            49.12            57.07            40.07
126.15            48.83            57.08            40.08
126.56            49.41            57.10            40.06
126.96            49.22            57.60            40.05
127.37            49.46            58.05            40.06
127.77            48.93            58.02            40.06
128.18            48.83            58.04            40.06
128.59            49.37            58.03            40.04
128.99            49.41            58.02            40.06
129.40            49.17            58.03            40.07
129.81            49.27            58.05            40.05
130.21            48.88            58.03            40.06
130.62            49.46            58.04            40.06
131.03            49.12            58.08            40.06
131.43            49.27            58.02            40.05
131.84            49.32            58.02            40.03
132.25            49.07            58.07            40.06
132.65            49.61            59.06            40.06
133.06            49.07            59.00            40.04
133.47            49.37            58.99            40.05
133.87            49.22            59.01            40.06
134.28            48.97            59.02            40.03
134.69            49.22            59.00            40.04
135.09            49.56            59.01            40.05
135.50            49.41            59.01            40.04
135.91            49.22            59.01            40.05
136.31            49.32            58.99            40.03
136.72            48.88            58.97            40.05
137.12            49.32            59.01            40.06
137.53            49.22            59.00            40.02
137.94            49.07            58.99            40.05
138.34            49.37            59.00            40.04
138.75            49.27            59.01            40.05
139.16            48.97            58.99            40.04
139.56            49.46            59.02            40.03
139.97            49.17            59.00            40.05
140.38            49.12            59.00            40.05
140.78            49.17            59.00            40.03
141.19            48.73            58.97            40.03
141.60            49.12            59.03            40.04
142.00            49.41            59.02            40.05
142.41            49.32            58.98            40.03
142.82            49.22            59.01            40.03
143.22            49.32            60.03            40.04
143.63            49.41            60.02            40.03
144.03            48.97            59.98            40.02
144.44            48.97            59.97            40.05
144.85            49.17            60.00            40.04
145.25            49.46            59.98            40.03
145.66            49.37            59.98            40.03
146.07            49.27            59.99            40.03
146.47            49.32            60.03            40.03
146.88            49.56            59.98            40.02
147.29            49.02            59.96            40.03
147.69            48.83            59.99            40.03
148.10            49.46            60.03            40.03
148.51            49.27            59.99            40.02
148.91            49.27            60.00            40.01
149.32            49.12            60.00            40.03
149.73            49.71            60.01            40.01
150.13            49.37            60.02            40.02
150.54            49.41            59.97            40.04
150.95            48.93            59.99            40.03
151.35            49.12            60.01            40.00
151.76            49.41            60.01            40.02
152.17            49.07            60.02            40.02
152.57            49.32            59.99            40.04
152.98            49.22            59.98            40.02
153.38            49.22            59.99            40.02
153.79            49.56            60.00            40.04
154.20            49.02            60.02            40.04
154.60            49.61            60.00            40.01
155.01            49.17            59.98            40.03
155.42            49.66            60.04            40.02
155.82            49.02            60.01            40.02
156.23            49.17            59.99            40.00
156.64            49.46            59.98            40.03
157.04            49.56            60.04            40.03
157.45            49.51            60.03            40.01
157.86            49.56            59.99            40.03
158.26            49.37            60.01            40.04
158.67            49.56            60.02            40.01
159.08            49.61            60.03            40.02
159.48            49.61            60.00            40.02
159.89            49.37            60.02            40.02
160.29            48.97            60.02            40.04
160.70            49.37            59.99            40.01
161.11            49.61            60.01            40.02
161.51            49.71            60.01            40.03
161.92            49.12            60.02            40.02
162.33            49.37            59.98            40.00
162.73            49.17            60.01            40.00
163.14            48.97            60.03            40.02
163.55            49.27            60.00            40.01
163.95            49.66            59.99            40.01
164.36            49.32            60.00            40.02
164.77            49.80            60.01            40.03
165.17            49.76            60.00            40.00
165.58            49.76            59.99            40.02
165.99            49.41            60.00            40.02
166.39            49.71            60.04            40.02
166.80            49.41            59.99            40.01
167.20            49.56            60.02            40.02
167.61            49.56            60.00            40.02
168.02            49.07            60.01            40.01
168.42            49.71            60.01            40.01
168.83            49.07            60.00            40.00
169.24            49.32            60.01            40.01
169.64            49.17            60.02            40.01
170.05            49.51            60.00            40.01
170.46            49.37            59.98            40.00
