Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
0.10            49.07            41.43            0.61
1.52            49.22            41.45            1.61
1.93            49.51            41.47            1.68
2.33            49.02            41.47            1.64
2.74            48.83            41.47            1.71
3.15            48.93            41.49            1.72
3.55            49.32            41.47            1.75
3.96            49.32            41.46            1.79
4.37            49.17            41.45            1.83
4.77            49.17            41.47            1.83
5.18            48.88            41.51            1.73
5.59            49.22            41.47            1.80
5.99            49.12            41.44            1.85
6.40            49.27            41.46            1.90
6.80            49.41            41.47            1.87
7.21            49.76            41.45            1.81
7.62            48.88            41.46            1.84
8.02            49.22            41.47            1.89
8.43            49.51            41.47            1.89
8.84            49.27            41.47            1.80
9.24            49.32            41.46            1.92
9.65            49.12            41.48            1.89
10.06            49.46            41.44            1.89
10.46            49.02            41.47            1.93
10.87            49.07            41.47            1.91
11.27            49.22            42.13            1.97
11.68            49.12            41.95            1.95
12.09            49.61            41.92            2.00
12.49            49.07            41.93            1.98
12.90            49.02            42.02            1.89
13.31            49.12            42.00            2.00
13.71            49.07            41.98            1.98
14.12            48.97            42.00            1.98
14.53            49.07            41.95            1.89
14.93            49.32            42.01            1.97
15.34            49.71            41.98            1.94
15.75            49.66            42.00            1.97
16.15            49.41            41.98            1.98
16.56            49.61            41.95            1.95
16.96            49.66            42.00            1.94
17.37            48.88            41.97            1.94
17.78            48.97            41.96            1.97
18.18            49.22            42.57            2.02
18.59            49.12            42.55            1.85
19.00            49.07            42.40            2.01
19.40            48.83            42.45            1.99
19.81            49.07            42.46            2.06
20.21            49.07            42.47            2.07
20.62            49.22            42.47            2.01
21.03            48.88            42.48            2.01
21.43            49.37            42.45            2.07
21.84            49.46            42.46            2.08
22.25            49.22            42.49            2.08
22.65            49.32            42.48            2.04
23.06            49.17            42.47            2.02
23.47            49.27            42.42            2.05
23.87            48.93            42.45            2.07
24.28            48.97            42.45            2.01
24.69            49.17            42.67            2.50
25.09            49.76            43.02            1.79
25.50            49.27            42.91            1.96
25.90            48.83            42.91            1.92
26.31            49.22            42.94            1.98
26.72            49.46            42.96            1.91
27.12            49.02            42.95            1.98
27.53            49.51            42.94            1.98
27.94            48.88            42.95            2.05
28.34            49.17            42.95            1.95
28.75            49.51            42.94            1.92
29.16            49.41            42.94            2.03
29.56            48.78            42.93            1.90
29.97            49.41            42.96            1.96
30.37            48.88            42.95            1.97
30.78            49.02            42.96            1.99
31.19            49.41            42.96            2.00
31.59            49.32            42.95            2.02
32.00            49.02            42.98            2.04
32.41            48.93            42.98            2.02
32.81            49.76            42.93            2.00
33.22            49.17            42.93            2.05
33.63            49.56            43.56            2.09
34.03            49.46            43.57            2.08
34.44            48.93            43.40            2.06
34.85            49.22            43.41            2.05
35.25            49.46            43.44            2.05
35.66            49.17            43.43            2.06
36.07            49.37            43.43            2.13
36.47            49.27            43.44            2.12
36.88            49.07            43.42            2.13
37.28            48.97            43.43            2.04
37.69            49.17            43.43            2.02
38.10            49.02            43.45            1.89
38.50            49.07            43.46            2.02
38.91            49.76            43.58            2.61
39.32            49.27            44.07            2.05
39.72            49.80            43.90            2.02
40.13            49.51            43.88            2.12
40.54            49.56            43.91            2.09
40.94            49.27            43.91            2.13
41.35            49.07            43.92            2.12
41.75            49.27            43.92            2.08
42.16            49.71            43.91            2.12
42.57            49.12            43.92            2.11
42.97            49.37            43.89            2.07
43.38            49.32            43.94            2.08
43.79            49.56            44.37            2.46
44.19            49.12            44.55            2.03
44.60            49.17            44.49            1.90
45.01            49.37            44.35            2.02
45.41            49.61            44.42            1.95
45.82            48.73            44.40            2.02
46.23            49.27            44.40            2.08
46.63            49.46            44.41            2.13
47.04            49.61            44.44            2.13
47.44            49.46            44.45            2.14
47.85            49.46            44.40            2.03
48.26            49.46            44.40            2.11
48.66            49.27            44.40            2.11
49.07            49.71            44.44            2.10
49.48            49.12            44.40            2.10
49.88            49.71            44.39            2.11
50.29            49.27            44.66            2.59
50.70            49.07            45.01            2.10
51.10            49.17            44.98            1.91
51.51            49.41            44.88            2.07
51.91            49.32            44.88            2.16
52.32            49.37            44.89            2.22
52.73            49.56            44.92            2.18
53.13            49.41            44.90            2.16
53.54            49.76            44.89            2.21
53.95            49.51            44.90            2.24
54.35            49.80            44.88            2.28
54.76            49.71            44.92            2.22
55.17            49.41            44.92            2.25
55.57            49.46            44.91            2.26
55.98            49.61            45.42            2.72
56.38            49.07            45.52            2.22
56.79            49.56            45.36            2.20
57.20            49.56            45.34            2.26
57.60            49.56            45.34            2.23
58.01            49.32            45.37            2.23
58.42            49.02            45.42            2.11
58.82            48.97            45.41            2.17
59.23            49.37            45.42            2.17
59.64            49.46            45.37            2.27
60.04            49.46            45.97            2.25
60.45            49.80            46.01            2.21
60.86            49.46            45.83            2.19
61.26            49.95            45.88            2.15
61.67            49.56            45.86            2.26
62.07            49.27            45.85            2.28
62.48            49.46            45.87            2.19
62.89            49.02            45.86            2.20
63.29            48.97            45.85            2.26
63.70            49.85            45.84            2.19
64.11            49.90            45.90            2.21
64.51            49.61            45.86            2.19
64.92            49.37            45.86            2.21
65.33            49.56            45.84            2.23
65.73            49.90            45.85            2.19
66.14            49.32            46.43            2.62
66.54            49.46            46.46            2.23
66.95            49.46            46.28            2.30
67.36            49.27            46.33            2.24
67.76            49.56            46.33            2.26
68.17            48.97            46.35            2.20
68.58            49.71            46.33            2.25
68.98            48.93            46.33            2.24
69.39            49.12            46.36            2.28
69.80            49.80            46.36            2.25
70.20            49.02            46.98            2.17
70.61            49.61            46.90            2.08
71.02            50.00            46.79            2.22
71.42            49.41            46.83            2.21
71.83            49.41            46.81            2.26
72.23            49.37            46.82            2.11
72.64            49.51            46.84            2.27
73.05            49.56            46.83            2.22
73.45            49.46            46.81            2.25
73.86            49.80            46.84            2.17
74.27            49.07            46.82            2.26
74.67            50.00            46.82            2.35
75.08            49.95            46.84            2.28
75.49            49.41            46.81            2.25
75.89            49.66            46.83            2.20
76.30            48.97            46.85            2.21
76.70            49.12            47.38            2.30
77.11            48.97            47.39            2.04
77.52            49.61            47.27            2.16
77.92            49.32            47.29            2.21
78.33            49.80            47.27            2.29
78.74            49.85            47.28            2.26
79.14            49.37            47.33            2.25
79.55            49.71            47.29            2.24
79.95            49.41            47.32            2.30
80.36            49.56            47.30            2.30
80.77            49.56            47.34            2.30
81.18            49.61            47.33            2.31
81.58            49.76            47.35            2.27
81.99            49.56            47.32            2.25
82.40            49.66            47.74            2.83
82.80            50.20            47.88            2.25
86.23            50.00            47.87            1.82
88.66            49.90            48.34            2.13
89.07            49.71            48.25            2.31
89.47            49.32            48.25            2.29
89.88            49.37            48.26            2.32
90.29            49.76            48.27            2.25
90.69            49.51            48.29            2.24
91.10            49.80            48.28            2.28
91.50            49.85            48.29            2.27
91.91            49.66            48.26            2.27
92.32            49.76            48.28            2.28
92.72            49.61            48.27            2.29
93.13            49.85            48.27            2.30
93.54            49.22            48.25            2.34
93.94            49.85            48.88            2.37
94.35            49.56            48.89            2.34
94.76            49.46            48.75            2.30
95.16            49.46            48.74            2.36
95.57            49.22            48.75            2.30
95.98            49.32            48.78            2.32
96.38            49.66            48.78            2.25
96.79            49.76            48.77            2.27
97.20            49.66            48.77            2.12
97.60            49.22            48.78            2.30
98.01            49.61            48.78            2.29
98.41            49.61            48.77            2.32
98.82            50.00            48.77            2.33
99.23            49.90            48.77            2.33
99.63            49.71            48.77            2.30
100.04            49.80            48.77            2.20
100.45            49.12            48.77            2.16
100.85            49.61            49.34            2.30
101.26            49.37            49.22            2.26
101.67            49.76            49.27            2.29
102.07            49.71            49.22            2.29
102.48            50.05            49.23            2.30
105.91            49.71            49.38            1.70
108.34            49.27            50.22            2.21
108.74            49.51            50.29            2.27
109.15            49.95            50.24            2.24
109.56            49.61            50.26            2.27
109.96            49.76            50.25            2.23
110.37            49.51            50.24            2.29
110.78            49.66            50.25            2.23
111.18            49.76            50.23            2.27
111.59            49.51            50.24            2.23
112.00            49.41            50.25            2.24
112.40            50.00            50.27            2.20
112.81            49.80            50.25            2.22
113.21            49.80            50.22            2.25
113.62            49.07            50.26            2.17
114.03            49.56            50.28            2.19
114.43            49.61            50.24            2.25
114.84            49.66            50.22            2.25
115.25            49.32            50.26            2.27
115.65            49.41            50.26            2.29
116.06            49.46            50.27            2.64
116.47            49.80            50.81            2.30
116.87            49.27            50.70            2.31
117.28            49.85            50.73            2.23
117.69            49.90            50.69            2.30
118.09            49.27            50.67            2.30
118.50            49.46            50.73            2.27
118.90            49.56            50.75            2.25
119.31            49.27            50.71            2.27
119.72            49.51            50.68            2.31
120.12            49.22            50.72            2.34
120.53            49.80            50.75            2.31
120.94            49.56            51.00            2.81
121.34            49.46            51.31            2.29
121.75            49.32            51.16            2.30
122.16            49.56            51.19            2.37
122.56            49.76            51.22            2.28
122.97            48.97            51.19            2.37
123.38            49.37            51.21            2.36
123.78            49.66            51.20            2.33
124.19            49.12            51.19            2.29
124.60            49.85            51.19            2.33
125.00            49.41            51.19            2.33
125.41            49.32            51.22            2.35
125.81            49.46            51.22            2.35
126.22            49.37            51.17            2.40
126.63            49.76            51.17            2.33
127.03            49.22            51.23            2.34
127.44            48.97            51.23            2.34
127.85            49.37            51.22            2.38
128.25            49.66            51.77            2.40
128.66            49.32            51.76            2.34
129.07            50.05            51.72            2.32
132.50            49.07            51.79            1.96
134.93            49.80            52.19            2.29
135.33            49.07            52.17            2.43
135.74            49.41            52.16            2.36
136.14            49.32            52.16            2.33
