Tiempo (s)  Temperatura (C)  Voltaje HV (V)   Corriente SiPM
0.10            39.75            41.39            0.71
1.52            40.09            41.43            1.80
4.95            39.60            41.52            1.36
7.38            39.94            41.44            1.91
7.79            40.09            41.43            1.95
11.22            39.75            41.50            1.38
13.65            40.28            41.40            1.89
17.08            40.63            41.50            1.36
17.48            40.09            41.51            1.32
17.89            39.94            41.50            1.36
20.32            39.94            41.60            1.86
20.72            40.23            41.39            1.89
24.15            40.23            41.51            1.43
24.56            40.19            41.51            1.42
24.97            40.28            41.49            1.36
25.37            40.09            41.50            1.36
25.78            40.09            41.51            1.31
26.19            40.14            41.49            1.35
26.59            40.43            41.51            1.40
27.00            40.09            41.51            1.37
27.40            40.43            41.50            1.32
27.81            40.48            41.52            1.34
28.22            39.99            41.52            1.39
30.65            40.53            41.47            1.93
34.08            40.04            42.04            1.37
34.48            40.28            42.01            1.32
34.89            40.48            42.04            1.22
35.30            39.75            42.04            1.21
37.73            40.19            42.00            1.77
41.16            40.38            42.53            1.34
41.56            39.99            42.54            1.41
43.99            40.53            42.47            1.90
47.42            40.38            42.99            1.52
47.83            40.23            42.97            1.47
48.23            40.48            43.01            1.36
48.64            40.28            43.00            1.32
49.05            40.53            43.00            1.33
49.45            40.33            43.02            1.36
49.86            40.63            43.02            1.31
50.27            40.33            43.00            1.31
50.67            39.89            43.01            1.25
53.10            40.38            43.42            1.70
56.53            40.19            43.93            1.40
56.94            40.38            43.97            1.33
57.34            40.58            43.97            1.40
57.75            40.48            43.96            1.48
58.16            40.72            43.95            1.42
58.56            40.43            43.96            1.44
58.97            40.23            43.99            1.49
59.38            40.28            43.99            1.38
59.78            40.04            43.99            1.32
60.19            40.28            44.00            1.38
60.60            40.58            43.97            1.41
61.00            40.48            44.54            1.62
61.41            40.53            44.59            1.37
61.81            41.02            44.42            1.37
62.22            40.28            44.48            1.41
62.63            40.09            44.47            1.37
63.03            40.38            44.48            1.41
63.44            40.04            44.48            1.45
63.85            40.48            44.48            1.38
64.25            40.43            44.89            1.90
64.66            40.43            45.10            1.37
